PID,Name,Full Name,Alias,DOB,Age,Nationality_ID,Debut_year,Gender,Last_Known_team,Last_Known_Team_ID,Last_Sold_Price,Retire_status
90081,Avesh Khan,Avesh Khan,,1996-12-13,26,80006,2017,Male,Lucknow Super Giants,50011,100000000,No
90082,Azhar Mahmood,Azhar Mahmood,,1975-02-28,48,80013,2012,Male,Kolkata Knight Riders,50004,5000000,Yes
90083,B Akhil,Balachandra Akhil,,1977-10-07,45,80006,2008,Male,Kochi Tuskers Kerala,50013,3000000,Yes
90084,B Chipli,Bharat Chipli,,1983-01-27,40,80006,2009,Male,Delhi Capitals,50008,1000000,Yes
90085,B Geeves,Brett Geeves,,1982-06-13,40,80002,2008,Male,Delhi Capitals,50008,2008000,Yes
90086,B Indrajith,Baba Indrajith,,1994-07-08,28,80006,2022,Male,Kolkata Knight Riders,50004,2000000,No
90087,B Kumar,Bhuvneshwar Kumar,,1990-02-05,33,80006,2009,Male,Sunrisers Hyderabad,50006,42000000,No
90088,B Laughlin,Ben Laughlin,,1982-10-03,40,80002,2013,Male,Rajasthan Royals,50001,5000000,Yes
90089,B Lee,Brett Lee,,1976-11-08,46,80002,2008,Male,Kolkata Knight Riders,50004,21308000,Yes
90090,B Sai Sudharsan,B Sai Sudharshan,,2001-10-15,21,80006,2008,Male,Gujarat Titans,50007,2000000,No
90091,B Stanlake,Billy Stanlake,,1994-11-04,28,80002,2017,Male,Sunrisers Hyderabad,50006,5000000,Yes
90092,B Sumanth,Bodapati Sumanth,,1988-05-10,34,80006,2010,Male,Delhi Capitals,50008,600000,Yes
90093,BA Bhatt,Bhargav Bhatt,,1990-05-13,32,80006,2011,Male,Punjab Kings,50009,1000000,Yes
90094,BA Stokes,Ben Stokes,,1991-06-04,31,80004,2017,Male,Rajasthan Royals,50001,162500000,Yes
90095,Basil Thampi,Basil Thampi,,1993-09-11,29,80006,2017,Male,Mumbai Indians,50005,3000000,No
90096,BAW Mendis,Ajantha Mendis,,1985-03-11,38,80017,2008,Male,Punjab Kings,50009,38620750,Yes
90097,BB McCullum,Brendon McCullum,,1981-09-27,41,80011,2008,Male,Royal Challengers Bangalore,50010,36000000,Yes
90098,BB Samantray,Biplab Samantray,,1988-12-14,34,80006,2012,Male,Sunrisers Hyderabad,50006,1000000,Yes
90099,BB Sran,Barinder Sran,,1992-12-10,30,80006,2015,Male,Gujarat Titans,50007,34000000,No
90100,BCJ Cutting,Ben Cutting,,1987-01-30,36,80002,2012,Male,Kolkata Knight Riders,50004,7500000,Yes
90101,BE Hendricks,Beuran Hendricks,,1990-06-08,32,80016,2014,Male,Mumbai Indians,50005,18000000,Yes
90102,Bipul Sharma,Bipul Sharma,,1983-09-28,39,80006,2010,Male,Sunrisers Hyderabad,50006,2000000,Yes
90103,BJ Haddin,Brad Haddin,,1977-10-23,45,80002,2011,Male,Kolkata Knight Riders,50004,17312750,Yes
90104,BJ Hodge,Brad Hodge,,1974-12-29,48,80002,2008,Male,Rajasthan Royals,50001,24000000,Yes
90105,BJ Rohrer,Ben Rohrer,,1981-03-26,42,80002,2013,Male,Delhi Capitals,50008,2663500,Yes
90106,BMAJ Mendis,Jeevan Mendis,,1983-01-15,40,80017,2013,Male,Delhi Capitals,50008,2663500,Yes
90107,BR Dunk,Ben Dunk,,1987-03-11,36,80002,2014,Male,Mumbai Indians,50005,2000000,Yes
90108,BW Hilfenhaus,Ben Hilfenhaus,,1983-03-15,40,80002,2011,Male,Delhi Capitals,50008,3000000,Yes
90109,C de Grandhomme,Colin de Grandhomme,,1986-07-22,36,80011,2017,Male,Royal Challengers Bangalore,50010,22000000,Yes
90110,C Ganapathy,Chandrasekar Ganapathy,,1981-06-10,41,80006,2010,Male,Chennai Super Kings,50003,800000,Yes
90111,C Madan,Chandan Madan,,1982-10-15,40,80006,2010,Male,Kochi Tuskers Kerala,50013,800000,Yes
90112,C Munro,Colin Munro,,1987-03-11,36,80011,2015,Male,Delhi Capitals,50008,19000000,Yes
90113,C Nanda,Chentanya Nanda,,1979-03-29,44,80006,2008,Male,Mumbai Indians,50005,19000000,Yes
90114,C Sakariya,Chetan Sakariya,,1998-02-28,25,80006,2021,Male,Delhi Capitals,50008,42000000,No
90115,CA Ingram,Colin Ingram,,1985-07-03,37,80016,2011,Male,Delhi Capitals,50008,64000000,Yes
90116,CA Lynn,Chris Lynn,,1990-04-10,33,80002,2011,Male,Mumbai Indians,50005,20000000,Yes
90117,CA Pujara,Cheteshwar Pujara,,1988-01-25,35,80006,2008,Male,Chennai Super Kings,50003,5000000,Yes
90118,CH Gayle,Chris Gayle,,1979-09-21,43,80020,2008,Male,Punjab Kings,50009,20000000,Yes
90119,CH Morris,Chris Morris,,1987-04-30,35,80016,2013,Male,Rajasthan Royals,50001,162500000,Yes
90120,CJ Anderson,Corey Anderson,,1990-12-13,32,80011,2014,Male,Royal Challengers Bangalore,50010,20000000,Yes
90121,CJ Dala,Junior Dala,,1989-12-29,33,80016,2018,Male,Delhi Capitals,50008,2000000,Yes
90122,CJ Ferguson,Callum Ferguson,,1984-11-21,38,80002,2011,Male,Punjab Kings,50009,15081000,Yes
90123,CJ Green,Chris Green,,1993-10-01,29,80002,2020,Male,Kolkata Knight Riders,50004,2000000,Yes
90124,CJ Jordan,Chris Jordan,,1988-10-04,34,80004,2016,Male,Punjab Kings,50009,36000000,Yes
90125,CJ McKay,Clint McKay,,1983-02-22,40,80002,2011,Male,Sunrisers Hyderabad,50006,5327000,Yes
90126,CK Kapugedera,Chamara Kapugedera,,1987-02-24,36,80017,2008,Male,Chennai Super Kings,50003,4016000,Yes
90127,CK Langeveldt,Charl Langeveldt,,1974-12-17,48,80016,2009,Male,Royal Challengers Bangalore,50010,7037800,Yes
90128,CL White,Cameron White,,1983-08-18,39,80002,2008,Male,Sunrisers Hyderabad,50006,58597000,Yes
90129,CM Gautam,CM Gautam,,1986-03-08,37,80006,2009,Male,Delhi Capitals,50008,100000000,Yes
90130,CR Brathwaite,Carlos Brathwaite,,1988-07-18,34,80020,2016,Male,Kolkata Knight Riders,50004,20000000,Yes
90131,CR Woakes,Chris Woakes,,1989-03-02,34,80004,2017,Male,Delhi Capitals,50008,15000000,Yes
90132,CRD Fernando,Dilhara Fernando,,1979-07-19,43,80017,2008,Male,Mumbai Indians,50005,4600000,Yes
90133,CV Chakravarthy,Varun Chakravarthy,,1991-08-29,31,80006,2019,Male,Kolkata Knight Riders,50004,15000000,No
90134,D Brevis,D Brevis,,1985-04-08,38,80016,2008,Male,Delhi Capitals,50008,4600000,Yes
90135,D du Preez,Dillon du Preez,,1990-06-29,32,80016,2009,Male,Royal Challengers Bangalore,50010,4600000,Yes
90136,D Kalyankrishna,Doddapaneni Kalyankrishna,,1983-12-16,39,80006,2010,Male,Delhi Capitals,50008,4600000,Yes
90137,D Padikkal,Devdutt Padikkal,,2000-07-07,22,80006,2019,Male,Rajasthan Royals,50001,77500000,No
90138,D Pretorius,D Pretorius,,1990-06-29,32,80016,2008,Male,Gujarat Lions,50012,4600000,Yes
90139,D Salunkhe,Dinesh Salunkhe,,1982-11-12,40,80006,2008,Male,Rajasthan Royals,50001,1000000,Yes
90140,D Wiese,David Wiese,,1985-05-18,37,80016,2015,Male,Royal Challengers Bangalore,50010,10000000,Yes
90141,DA Miller,David Miller,,1989-06-10,33,80016,2011,Male,Gujarat Titans,50007,30000000,No
90142,DA Warner,David Warner,,1986-10-27,36,80002,2009,Male,Delhi Capitals,50008,62500000,No
90143,DAJ Bracewell,Doug Bracewell,,1990-09-28,32,80011,2012,Male,Delhi Capitals,50008,2513500,Yes
90144,DB Das,Debabrata Das,,1986-09-22,36,80006,2008,Male,Kolkata Knight Riders,50004,2000000,Yes
90145,DB Ravi Teja,Dwaraka Ravi Teja,,1987-09-05,35,80006,2008,Male,Sunrisers Hyderabad,50006,2000000,Yes
90146,DE Bollinger,Doug Bollinger,,1981-07-24,41,80002,2010,Male,Chennai Super Kings,50003,35189000,Yes
90147,DG Nalkande,Darshan Nalkande,,1998-10-04,24,80006,2019,Male,Gujarat Titans,50007,2000000,No
90148,DH Yagnik,Dishant Yagnik,,1983-06-22,39,80006,2011,Male,Rajasthan Royals,50001,3000000,Yes
90149,DJ Bravo,Dwayne Bravo,,1983-10-07,39,80020,2008,Male,Chennai Super Kings,50003,44000000,No
90150,DJ Harris,Daniel Harris,,1979-12-31,43,80002,2012,Male,Deccan Chargers,50002,3518900,Yes
90151,DJ Hooda,Deepak Hooda,,1995-04-19,27,80006,2014,Male,Lucknow Super Giants,50011,57500000,No
90152,DJ Hussey,David Hussey,,1977-07-15,45,80002,2008,Male,Chennai Super Kings,50003,5000000,Yes
90153,DJ Jacobs,Davy Jacobs,,1982-11-04,40,80016,2011,Male,Mumbai Indians,50005,9551300,Yes
90154,DJ Malan,Dawid Malan,,1987-09-03,35,80004,2021,Male,Punjab Kings,50009,15000000,Yes
90155,DJ Mitchell,Daryl Mitchell,,1991-05-20,31,80011,2022,Male,Rajasthan Royals,50001,7500000,No
90156,DJ Muthuswami,Domnic Muthuswami,,1981-03-09,42,80006,2015,Male,Delhi Capitals,50008,7500000,Yes
90157,DJ Thornely,Dominic John Thornely,,1978-10-01,44,80002,2008,Male,Mumbai Indians,50005,1000000,Yes
90158,DJ Willey,David Willey,,1990-02-28,33,80004,2018,Male,Royal Challengers Bangalore,50010,20000000,Yes
90159,DJG Sammy,Darren Sammy,,1983-12-20,39,80020,2013,Male,Punjab Kings,50009,3000000,Yes
90160,DJM Short,D'Arcy Short,,1990-08-09,32,80002,2018,Male,Rajasthan Royals,50001,40000000,Yes
90161,DL Chahar,Deepak Chahar,,1992-08-07,30,80006,2011,Male,Chennai Super Kings,50003,140000000,No
90162,DL Vettori,Daniel Vettori,,1979-01-27,44,80011,2008,Male,Royal Challengers Bangalore,50010,29298500,Yes
90163,DM Bravo,Darren Bravo,,1989-02-06,34,80020,2012,Male,Kolkata Knight Riders,50004,5000000,Yes
90164,DNT Zoysa,Nuwan Zoysa,,1978-05-13,44,80017,2008,Male,Deccan Chargers,50002,5403200,Yes
90165,DP Conway,Devon Conway,,1991-07-08,31,80011,2022,Male,Chennai Super Kings,50003,10000000,Yes
90166,DP Nannes,Dirk Nannes,,1976-05-16,46,80002,2009,Male,Chennai Super Kings,50003,31962000,Yes
90167,DP Vijaykumar,Paidikalva Vijaykumar,,1986-10-20,36,80006,2008,Male,Deccan Chargers,50002,1200000,Yes
90168,DPMD Jayawardene,Mahela Jayawardene,,1977-05-27,45,80017,2008,Male,Delhi Capitals,50008,64400000,Yes
90169,DR Martyn,Damien Martyn,,1971-10-21,51,80002,2010,Male,Rajasthan Royals,50001,4629000,Yes
90170,DR Sams,Daniel Sams,,1992-10-27,30,80002,2020,Male,Lucknow Super Giants,50011,7500000,No
90171,DR Shorey,Dhruv Shorey,,1992-06-05,30,80006,2018,Male,Chennai Super Kings,50003,2000000,Yes
90172,DR Smith,Dwayne Smith,,1983-04-12,40,80020,2008,Male,Gujarat Lions,50012,23000000,Yes
90173,DS Kulkarni,Dhawal Kulkarni,,1988-12-10,34,80006,2008,Male,Mumbai Indians,50005,7500000,No
90174,DS Lehmann,Darren Lehmann,,1970-02-05,53,80002,2008,Male,Rajasthan Royals,50001,1200000,Yes
90175,DT Christian,Daniel Christian,,1983-05-04,39,80002,2011,Male,Delhi Capitals,50008,15000000,Yes
90176,DT Patil,Devraj Patil,,1984-12-06,38,80006,2008,Male,Royal Challengers Bangalore,50010,1200000,Yes
90177,DW Steyn,Dale Steyn,,1983-06-27,39,80016,2008,Male,Royal Challengers Bangalore,50010,20000000,Yes
90178,E Lewis,Evin Lewis,,1991-12-27,31,80020,2018,Male,Lucknow Super Giants,50011,20000000,No
90179,EJG Morgan,Eoin Morgan,,1986-09-10,36,80004,2010,Male,Kolkata Knight Riders,50004,52500000,Yes
90180,ER Dwivedi,Eklavya Dwivedi,,1988-07-22,34,80006,2011,Male,Sunrisers Hyderabad,50006,7500000,Yes
90181,F Behardien,Farhaan Behardien,,1983-10-09,39,80016,2016,Male,Punjab Kings,50009,3000000,Yes
90182,F du Plessis,Francois du Plessis,,1984-07-13,38,80016,2011,Male,Royal Challengers Bangalore,50010,70000000,No
90183,FA Allen,Fabian Allen,,1995-05-07,27,80020,2020,Male,Mumbai Indians,50005,7500000,No
90184,Fazalhaq Farooqi,Fazalhaq Farooqi,,2000-09-22,22,80001,2022,Male,Sunrisers Hyderabad,50006,5000000,Yes
90185,FH Edwards,Fidel Edwards,,1982-02-06,41,80020,2009,Male,Rajasthan Royals,50001,11186700,Yes
90186,FY Fazal,Faiz Fazal,,1985-09-07,37,80006,2010,Male,Rajasthan Royals,50001,3000000,Yes
90187,G Gambhir,Gautam Gambhir,,1981-10-14,41,80006,2008,Male,Delhi Capitals,50008,28000000,Yes
90188,Gagandeep Singh,Gagandeep Singh,,1985-04-08,38,80006,2008,Male,Punjab Kings,50009,1200000,Yes
90189,GB Hogg,Brad Hogg,,1971-02-06,52,80002,2012,Male,Kolkata Knight Riders,50004,5000000,Yes
90190,GC Smith,Graeme Smith,,1981-02-01,42,80016,2008,Male,Pune Warriors India,50014,25135000,Yes
90191,GC Viljoen,Hardus Viljoen,,1989-03-06,34,80016,2019,Male,Punjab Kings,50009,7500000,Yes
90192,GD McGrath,Glenn McGrath,,1970-02-09,53,80002,2009,Male,Delhi Capitals,50008,17192000,Yes
90193,GD Phillips,Glenn Phillips,,1996-12-06,26,80011,2021,Male,Sunrisers Hyderabad,50006,15000000,No
90194,GH Vihari,Hanuma Vihari,,1993-10-13,29,80006,2013,Male,Delhi Capitals,50008,20000000,No
90195,GHS Garton,George Garton,,1997-04-15,25,80004,2021,Male,Royal Challengers Bangalore,50010,1000000,Yes
90196,GJ Bailey,George Bailey,,1982-09-07,40,80002,2009,Male,Rising Pune Supergiants,50015,5000000,Yes
90197,GJ Maxwell,Glenn Maxwell,,1988-10-14,34,80002,2012,Male,Royal Challengers Bangalore,50010,110000000,No
90198,GR Napier,Graham Napier,,1980-01-06,43,80004,2009,Male,Mumbai Indians,50005,1388700,Yes
90199,GS Sandhu,Gurinder Sandhu,,1993-06-14,29,80002,2015,Male,Delhi Capitals,50008,17000000,Yes
90200,Gurkeerat Singh,Gurkeerat Singh,,1990-06-29,32,80006,2008,Male,Gujarat Titans,50007,5000000,No
90201,H Das,Halhadar Das,,1986-08-02,36,80006,2008,Male,Deccan Chargers,50002,800000,Yes
90202,H Klaasen,Heinrich Klaasen,,1991-07-30,31,80016,2018,Male,Sunrisers Hyderabad,50006,52500000,Yes
90203,Harbhajan Singh,Harbhajan Singh,,1980-07-03,42,80006,2008,Male,Kolkata Knight Riders,50004,20000000,Yes
90204,Harmeet Singh,Harmeet Singh,,1990-10-08,32,80006,2009,Male,Rajasthan Royals,50001,1000000,Yes
90205,Harpreet Brar,Harpreet Brar,,1995-09-16,27,80006,2019,Male,Punjab Kings,50009,38000000,No
90206,Harpreet Singh,Harpreet Singh,,1990-08-19,32,80006,2010,Male,Delhi Capitals,50008,2000000,Yes
90207,Harshit Rana,Harshit Rana,,2001-12-22,21,80006,2022,Male,Kolkata Knight Riders,50004,20000000,Yes
90208,HE van der Dussen,Rassie van der Dussen,,1989-02-07,34,80016,2022,Male,Rajasthan Royals,50001,10000000,Yes
90209,HF Gurney,Harry Gurney,,1986-10-25,36,80004,2019,Male,Kolkata Knight Riders,50004,7500000,Yes
90210,HH Gibbs,Herschelle Gibbs,,1974-02-23,49,80016,2008,Male,Mumbai Indians,50005,2513500,Yes
90211,HH Pandya,Hardik Pandya,,1993-10-11,29,80006,2015,Male,Gujarat Titans,50007,150000000,No
90212,HM Amla,Hashim Amla,,1983-03-31,40,80016,2016,Male,Punjab Kings,50009,10000000,Yes
90213,HR Shokeen,Hrithik Shokeen,,2000-08-14,22,80006,2022,Male,Mumbai Indians,50005,2000000,No
90214,HV Patel,Harshal Patel,,1990-11-23,32,80006,2012,Male,Royal Challengers Bangalore,50010,107500000,No
90215,I Malhotra,Ishan Malhotra,,1984-05-22,38,80006,2010,Male,Deccan Chargers,50002,2000000,Yes
90216,I Sharma,Ishant Sharma,,1988-09-02,34,80006,2008,Male,Delhi Capitals,50008,5000000,Yes
90217,I Udana,Isuru Udana,,1988-02-17,35,80017,2020,Male,Royal Challengers Bangalore,50010,5000000,Yes
90218,IC Pandey,Ishwar Pandey,,1989-08-15,33,80006,2013,Male,Rising Pune Supergiants,50015,2000000,Yes
90219,IC Porel,Ishan Porel,,1998-09-05,24,80006,2020,Male,Punjab Kings,50009,2500000,No
90220,IK Pathan,Irfan Pathan,,1984-10-27,38,80006,2008,Male,Gujarat Lions,50012,5000000,Yes
90221,Imran Tahir,Imran Tahir,,1979-03-27,44,80016,2014,Male,Chennai Super Kings,50003,10000000,Yes
90222,Iqbal Abdulla,Iqbal Abdulla,,1989-12-02,33,80006,2008,Male,Royal Challengers Bangalore,50010,1000000,Yes
90223,IR Jaggi,Ishank Jaggi,,1989-01-27,34,80006,2009,Male,Kolkata Knight Riders,50004,2000000,Yes
90224,IS Sodhi,Ish Sodhi,,1992-10-31,30,80011,2018,Male,Rajasthan Royals,50001,5000000,No
90225,Ishan Kishan,Ishan Malhotra,,1984-05-22,38,80006,2010,Male,Delhi Capitals,50008,2000000,Yes
90226,J Arunkumar,Jagadeesh Arunkumar,,1975-01-18,48,80006,2008,Male,Royal Challengers Bangalore,50010,1200000,Yes
90227,J Botha,Johan Botha,,1982-05-02,40,80016,2009,Male,Kolkata Knight Riders,50004,10000000,Yes
90228,J Suchith,Jagadeesha Suchith,,1994-01-16,29,80006,2015,Male,Sunrisers Hyderabad,50006,2000000,No
90229,J Syed Mohammad,Syed Mohammed,,1983-06-03,39,80006,2014,Male,Royal Challengers Bangalore,50010,1000000,Yes
90230,J Theron,Rusty Theron,,1983-06-03,39,80016,2011,Male,Deccan Chargers,50002,4272950,Yes
90231,J Yadav,Jayant Yadav,,1990-01-22,33,80006,2014,Male,Gujarat Titans,50007,17000000,No
90232,JA Morkel,Albie Morkel,,1981-06-10,41,80016,2008,Male,Rising Pune Supergiants,50015,3000000,Yes
